epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,891.996,1.15479,1.83376,1.36785,0.62242,0.46844,0.4989,0.34737,1.07854,1.51121,1.40611,0.00999162,0.00333054,0.00999162,0.00333054,0.00999162,0.00333054,0.00999162,0.00333054
2,1741.4,1.15658,1.42095,1.3643,0.64149,0.48169,0.53702,0.38022,1.06763,1.36114,1.38338,0.0199374,0.0066458,0.0199374,0.0066458,0.0199374,0.0066458,0.0199374,0.0066458
3,2557.2,1.21969,1.53768,1.41443,0.56613,0.41,0.43062,0.27778,1.28177,1.69584,1.59853,0.0296672,0.00988907,0.0296672,0.00988907,0.0296672,0.00988907,0.0296672,0.00988907
4,3371.19,1.23439,1.5655,1.43128,0.6228,0.45885,0.49017,0.33952,1.14443,1.49021,1.47277,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
5,4186.68,1.17931,1.42046,1.39225,0.67159,0.52136,0.59228,0.43066,1.01863,1.19928,1.33473,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
6,5001.8,1.13558,1.32764,1.36346,0.72786,0.52153,0.61234,0.457,0.97637,1.09888,1.30093,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
7,5819.2,1.10996,1.25244,1.34423,0.73322,0.56452,0.64624,0.48446,0.94044,1.03499,1.26225,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
8,6633.17,1.09281,1.19928,1.32943,0.75156,0.59613,0.67356,0.50698,0.94161,0.98371,1.26378,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
9,7451.17,1.07667,1.15375,1.31667,0.76611,0.59839,0.6873,0.52623,0.91963,0.95061,1.24253,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
10,8267.44,1.04865,1.10493,1.29919,0.77969,0.6153,0.70642,0.54387,0.89606,0.90888,1.21983,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
11,9081.93,1.03514,1.06893,1.28524,0.77525,0.63506,0.71343,0.55353,0.87587,0.86997,1.19557,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
12,9899.83,1.02155,1.04434,1.27617,0.79348,0.6348,0.71997,0.56371,0.86168,0.83812,1.17924,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
13,10717.6,1.01646,1.01341,1.26985,0.8019,0.64741,0.74042,0.57979,0.85173,0.81641,1.17101,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
14,11536,1.00352,0.98144,1.25971,0.79365,0.65787,0.74251,0.58516,0.83721,0.79829,1.15935,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
15,12353.1,0.99834,0.95423,1.25272,0.79685,0.66365,0.74528,0.58893,0.83425,0.78366,1.15327,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
16,13171.6,0.9692,0.92658,1.24062,0.78983,0.6786,0.75007,0.59395,0.81901,0.77294,1.13867,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,13989.5,0.97043,0.90549,1.23651,0.80561,0.67631,0.75555,0.60074,0.81538,0.7571,1.13426,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
18,14805.5,0.95962,0.88642,1.23255,0.81722,0.6769,0.76033,0.60486,0.81073,0.74855,1.12991,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
19,15623.2,0.94713,0.85978,1.22305,0.82035,0.68053,0.76187,0.60689,0.80715,0.74284,1.1288,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
20,16440.3,0.93733,0.83403,1.21296,0.82242,0.67854,0.76401,0.60927,0.80443,0.73851,1.12474,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665
21,17252.1,0.92403,0.77995,1.21043,0.82326,0.68238,0.76944,0.6152,0.79704,0.72725,1.11937,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
22,18062,0.90551,0.74165,1.19896,0.82023,0.69078,0.77245,0.61823,0.79346,0.71891,1.11482,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
23,18872.7,0.88949,0.71359,1.18718,0.81204,0.70082,0.77674,0.62314,0.78704,0.71108,1.10941,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378
24,19682.8,0.87641,0.68827,1.17614,0.81716,0.69792,0.77815,0.62463,0.78423,0.70775,1.1076,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143
25,20494.4,0.86623,0.66469,1.16625,0.82088,0.697,0.77817,0.62562,0.78225,0.70583,1.10555,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
